,Name,StartDate,EndDate,FIRs
0,AREY SUB PS,01122025,31122025,22
1,AGRIPADA,01122025,31122025,47
2,AIR PORT,01122025,31122025,14
3,ANDHERI,01122025,31122025,64
4,AZAD MAIDAN,01122025,31122025,28
5,BANDRA,01122025,31122025,146
6,BHANDUP,01122025,31122025,92
7,BHOIWADA,01122025,31122025,28
8,BORIWALI,01122025,31122025,139
9,BYCULLA,01122025,31122025,62
10,CHEMBUR,01122025,31122025,61
11,COLABA,01122025,31122025,48
12,DADAR,01122025,31122025,64
13,DHARAVI,01122025,31122025,112
14,DONGRI,01122025,31122025,68
15,GAMDEVI,01122025,31122025,100
16,GHATKOPAR,01122025,31122025,177
17,GOREGAON,01122025,31122025,52
18,JOGESHWARI,01122025,31122025,36
19,KALACHOWKI,01122025,31122025,34
20,KANDIVALI (WEST),01122025,31122025,54
21,KHERWADI,01122025,31122025,59
22,KURLA,01122025,31122025,39
23,D.B.MARG,01122025,31122025,137
24,LT MARG,01122025,31122025,129
25,MAHIM,01122025,31122025,79
26,MALAD,01122025,31122025,65
27,MATUNGA,01122025,31122025,15
28,MULUND (WEST),01122025,31122025,116
29,NAGPADA,01122025,31122025,46
30,NM JOSHI MARG,01122025,31122025,26
31,M R A MARG,01122025,31122025,49
32,PYDHONIE,01122025,31122025,183
33,SANTACRUZ,01122025,31122025,100
34,SEWRI,01122025,31122025,62
35,TILAK NAGAR,01122025,31122025,57
36,VIKHROLI,01122025,31122025,62
37,VILE PARLE,01122025,31122025,133
38,V.P.ROAD,01122025,31122025,123
39,WADALA,01122025,31122025,33
40,WORLI,01122025,31122025,46
41,YELLOWGATE,01122025,31122025,5
42,VAKOLA,01122025,31122025,96
43,TROMBAY,01122025,31122025,68
44,MALVANI,01122025,31122025,98
45,SAKINAKA,01122025,31122025,109
46,DAHISAR,01122025,31122025,92
47,D.N.NAGAR,01122025,31122025,70
48,R.A KIDWAI MARG,01122025,31122025,39
49,TARDEO,01122025,31122025,51
50,SAHAR,01122025,31122025,90
51,ANTOP HILL,01122025,31122025,51
52,DEONAR,01122025,31122025,101
53,JUHU,01122025,31122025,101
54,KANJUR MARG,01122025,31122025,36
55,NIRMAL NAGAR,01122025,31122025,89
56,MIDC,01122025,31122025,97
57,KASTURBA SUB PS,01122025,31122025,68
58,NEHRU NAGAR,01122025,31122025,58
59,R C F,01122025,31122025,50
60,PANT NAGAR,01122025,31122025,96
61,DINDOSHI,01122025,31122025,64
62,KHAR,01122025,31122025,143
63,CUFFE-PARADE,01122025,31122025,23
64,OSHIWARA,01122025,31122025,177
65,PARK SITE,01122025,31122025,66
66,SHIVAJI NAGAR,01122025,31122025,128
67,SIR JJ MARG,01122025,31122025,60
68,SHIVAJI PARK,01122025,31122025,40
69,MALABAR HILL,01122025,31122025,52
70,MEGHWADI,01122025,31122025,56
71,SION,01122025,31122025,21
72,KURAR,01122025,31122025,67
73,MHB COLONY,01122025,31122025,55
74,NAVGHAR,01122025,31122025,30
75,SHAHU NAGAR,01122025,31122025,40
76,VERSOVA,01122025,31122025,102
77,MARINE DRIVE,01122025,31122025,34
78,WADALA TT,01122025,31122025,64
79,BANDRA-KURLA COMPLEX,01122025,31122025,58
80,POWAI,01122025,31122025,90
81,CHARCOP,01122025,31122025,35
82,VINOBA BHAVE NAGAR,01122025,31122025,69
83,GORAI,01122025,31122025,10
84,BANGUR NAGAR,01122025,31122025,58
85,SAMTA NAGAR,01122025,31122025,128
86,Mumbai Sagri Police Station,01122025,31122025,0
87,GOVANDI POLICE STATION,01122025,31122025,51
88,MANKHURD POLICE STATION,01122025,31122025,52
89,CHUNABHATTI POLICE STATION,01122025,31122025,83
90,AMBOLI,01122025,31122025,105
91,VANRAI POLICE STATION,01122025,31122025,62
92,Mumbai Sagri-2 Police Station,01122025,31122025,0
93,CYBER POLICE STATION WEST REGION,01122025,31122025,24
94,CYBER POLICE STATION EAST REGION,01122025,31122025,19
95,CYBER POLICE STATION CENTRAL REGION,01122025,31122025,23
96,CYBER POLICE STATION NORTH REGION,01122025,31122025,4
97,CYBER POLICE STATION SOUTH REGION,01122025,31122025,0
