,Name,StartDate,EndDate,FIRs
0,AREY SUB PS,01072026,31072026,14
1,AGRIPADA,01072026,31072026,53
2,AIR PORT,01072026,31072026,9
3,ANDHERI,01072026,31072026,109
4,AZAD MAIDAN,01072026,31072026,30
5,BANDRA,01072026,31072026,307
6,BHANDUP,01072026,31072026,99
7,BHOIWADA,01072026,31072026,68
8,BORIWALI,01072026,31072026,116
9,BYCULLA,01072026,31072026,75
10,CHEMBUR,01072026,31072026,125
11,COLABA,01072026,31072026,62
12,DADAR,01072026,31072026,77
13,DHARAVI,01072026,31072026,91
14,DONGRI,01072026,31072026,83
15,GAMDEVI,01072026,31072026,80
16,GHATKOPAR,01072026,31072026,88
17,GOREGAON,01072026,31072026,151
18,JOGESHWARI,01072026,31072026,84
19,KALACHOWKI,01072026,31072026,82
20,KANDIVALI (WEST),01072026,31072026,163
21,KHERWADI,01072026,31072026,80
22,KURLA,01072026,31072026,75
23,D.B.MARG,01072026,31072026,99
24,LT MARG,01072026,31072026,102
25,MAHIM,01072026,31072026,88
26,MALAD,01072026,31072026,184
27,MATUNGA,01072026,31072026,67
28,MULUND (WEST),01072026,31072026,80
29,NAGPADA,01072026,31072026,82
30,NM JOSHI MARG,01072026,31072026,47
31,M R A MARG,01072026,31072026,58
32,PYDHONIE,01072026,31072026,95
33,SANTACRUZ,01072026,31072026,309
34,SEWRI,01072026,31072026,45
35,TILAK NAGAR,01072026,31072026,61
36,VIKHROLI,01072026,31072026,56
37,VILE PARLE,01072026,31072026,92
38,V.P.ROAD,01072026,31072026,145
39,WADALA,01072026,31072026,44
40,WORLI,01072026,31072026,57
41,YELLOWGATE,01072026,31072026,2
42,VAKOLA,01072026,31072026,113
43,TROMBAY,01072026,31072026,46
44,MALVANI,01072026,31072026,154
45,SAKINAKA,01072026,31072026,99
46,DAHISAR,01072026,31072026,161
47,D.N.NAGAR,01072026,31072026,190
48,R.A KIDWAI MARG,01072026,31072026,56
49,TARDEO,01072026,31072026,43
50,SAHAR,01072026,31072026,100
51,ANTOP HILL,01072026,31072026,64
52,DEONAR,01072026,31072026,118
53,JUHU,01072026,31072026,272
54,KANJUR MARG,01072026,31072026,59
55,NIRMAL NAGAR,01072026,31072026,103
56,MIDC,01072026,31072026,98
57,KASTURBA SUB PS,01072026,31072026,86
58,NEHRU NAGAR,01072026,31072026,78
59,R C F,01072026,31072026,50
60,PANT NAGAR,01072026,31072026,114
61,DINDOSHI,01072026,31072026,112
62,KHAR,01072026,31072026,235
63,CUFFE-PARADE,01072026,31072026,22
64,OSHIWARA,01072026,31072026,144
65,PARK SITE,01072026,31072026,96
66,SHIVAJI NAGAR,01072026,31072026,88
67,SIR JJ MARG,01072026,31072026,64
68,SHIVAJI PARK,01072026,31072026,80
69,MALABAR HILL,01072026,31072026,57
70,MEGHWADI,01072026,31072026,52
71,SION,01072026,31072026,41
72,KURAR,01072026,31072026,119
73,MHB COLONY,01072026,31072026,127
74,NAVGHAR,01072026,31072026,37
75,SHAHU NAGAR,01072026,31072026,72
76,VERSOVA,01072026,31072026,30
77,MARINE DRIVE,01072026,31072026,48
78,WADALA TT,01072026,31072026,83
79,BANDRA-KURLA COMPLEX,01072026,31072026,42
80,POWAI,01072026,31072026,101
81,CHARCOP,01072026,31072026,86
82,VINOBA BHAVE NAGAR,01072026,31072026,69
83,GORAI,01072026,31072026,25
84,BANGUR NAGAR,01072026,31072026,128
85,SAMTA NAGAR,01072026,31072026,207
86,Mumbai Sagri Police Station,01072026,31072026,0
87,GOVANDI POLICE STATION,01072026,31072026,75
88,MANKHURD POLICE STATION,01072026,31072026,93
89,CHUNABHATTI POLICE STATION,01072026,31072026,88
90,AMBOLI,01072026,31072026,273
91,VANRAI POLICE STATION,01072026,31072026,91
92,Mumbai Sagri-2 Police Station,01072026,31072026,0
93,CYBER POLICE STATION WEST REGION,01072026,31072026,24
94,CYBER POLICE STATION EAST REGION,01072026,31072026,13
95,CYBER POLICE STATION CENTRAL REGION,01072026,31072026,20
96,CYBER POLICE STATION NORTH REGION,01072026,31072026,13
97,CYBER POLICE STATION SOUTH REGION,01072026,31072026,12
