,Name,StartDate,EndDate,FIRs
0,AREY SUB PS,01082026,31082026,57
1,AGRIPADA,01082026,31082026,76
2,AIR PORT,01082026,31082026,5
3,ANDHERI,01082026,31082026,79
4,AZAD MAIDAN,01082026,31082026,22
5,BANDRA,01082026,31082026,234
6,BHANDUP,01082026,31082026,179
7,BHOIWADA,01082026,31082026,33
8,BORIWALI,01082026,31082026,97
9,BYCULLA,01082026,31082026,62
10,CHEMBUR,01082026,31082026,140
11,COLABA,01082026,31082026,46
12,DADAR,01082026,31082026,74
13,DHARAVI,01082026,31082026,119
14,DONGRI,01082026,31082026,71
15,GAMDEVI,01082026,31082026,86
16,GHATKOPAR,01082026,31082026,88
17,GOREGAON,01082026,31082026,125
18,JOGESHWARI,01082026,31082026,73
19,KALACHOWKI,01082026,31082026,49
20,KANDIVALI (WEST),01082026,31082026,147
21,KHERWADI,01082026,31082026,91
22,KURLA,01082026,31082026,97
23,D.B.MARG,01082026,31082026,141
24,LT MARG,01082026,31082026,125
25,MAHIM,01082026,31082026,86
26,MALAD,01082026,31082026,134
27,MATUNGA,01082026,31082026,35
28,MULUND (WEST),01082026,31082026,127
29,NAGPADA,01082026,31082026,75
30,NM JOSHI MARG,01082026,31082026,42
31,M R A MARG,01082026,31082026,42
32,PYDHONIE,01082026,31082026,94
33,SANTACRUZ,01082026,31082026,283
34,SEWRI,01082026,31082026,53
35,TILAK NAGAR,01082026,31082026,41
36,VIKHROLI,01082026,31082026,100
37,VILE PARLE,01082026,31082026,83
38,V.P.ROAD,01082026,31082026,142
39,WADALA,01082026,31082026,46
40,WORLI,01082026,31082026,38
41,YELLOWGATE,01082026,31082026,7
42,VAKOLA,01082026,31082026,100
43,TROMBAY,01082026,31082026,37
44,MALVANI,01082026,31082026,113
45,SAKINAKA,01082026,31082026,95
46,DAHISAR,01082026,31082026,143
47,D.N.NAGAR,01082026,31082026,145
48,R.A KIDWAI MARG,01082026,31082026,60
49,TARDEO,01082026,31082026,35
50,SAHAR,01082026,31082026,80
51,ANTOP HILL,01082026,31082026,50
52,DEONAR,01082026,31082026,68
53,JUHU,01082026,31082026,165
54,KANJUR MARG,01082026,31082026,93
55,NIRMAL NAGAR,01082026,31082026,125
56,MIDC,01082026,31082026,125
57,KASTURBA SUB PS,01082026,31082026,66
58,NEHRU NAGAR,01082026,31082026,66
59,R C F,01082026,31082026,63
60,PANT NAGAR,01082026,31082026,109
61,DINDOSHI,01082026,31082026,90
62,KHAR,01082026,31082026,239
63,CUFFE-PARADE,01082026,31082026,9
64,OSHIWARA,01082026,31082026,151
65,PARK SITE,01082026,31082026,119
66,SHIVAJI NAGAR,01082026,31082026,93
67,SIR JJ MARG,01082026,31082026,48
68,SHIVAJI PARK,01082026,31082026,61
69,MALABAR HILL,01082026,31082026,41
70,MEGHWADI,01082026,31082026,62
71,SION,01082026,31082026,25
72,KURAR,01082026,31082026,97
73,MHB COLONY,01082026,31082026,94
74,NAVGHAR,01082026,31082026,86
75,SHAHU NAGAR,01082026,31082026,53
76,VERSOVA,01082026,31082026,0
77,MARINE DRIVE,01082026,31082026,28
78,WADALA TT,01082026,31082026,54
79,BANDRA-KURLA COMPLEX,01082026,31082026,63
80,POWAI,01082026,31082026,106
81,CHARCOP,01082026,31082026,105
82,VINOBA BHAVE NAGAR,01082026,31082026,55
83,GORAI,01082026,31082026,25
84,BANGUR NAGAR,01082026,31082026,135
85,SAMTA NAGAR,01082026,31082026,179
86,Mumbai Sagri Police Station,01082026,31082026,0
87,GOVANDI POLICE STATION,01082026,31082026,54
88,MANKHURD POLICE STATION,01082026,31082026,64
89,CHUNABHATTI POLICE STATION,01082026,31082026,88
90,AMBOLI,01082026,31082026,211
91,VANRAI POLICE STATION,01082026,31082026,91
92,Mumbai Sagri-2 Police Station,01082026,31082026,0
93,CYBER POLICE STATION WEST REGION,01082026,31082026,16
94,CYBER POLICE STATION EAST REGION,01082026,31082026,20
95,CYBER POLICE STATION CENTRAL REGION,01082026,31082026,6
96,CYBER POLICE STATION NORTH REGION,01082026,31082026,18
97,CYBER POLICE STATION SOUTH REGION,01082026,31082026,13
