,Name,StartDate,EndDate,FIRs
0,AREY SUB PS,01022026,28022026,23
1,AGRIPADA,01022026,28022026,48
2,AIR PORT,01022026,28022026,17
3,ANDHERI,01022026,28022026,93
4,AZAD MAIDAN,01022026,28022026,43
5,BANDRA,01022026,28022026,181
6,BHANDUP,01022026,28022026,105
7,BHOIWADA,01022026,28022026,44
8,BORIWALI,01022026,28022026,304
9,BYCULLA,01022026,28022026,43
10,CHEMBUR,01022026,28022026,152
11,COLABA,01022026,28022026,42
12,DADAR,01022026,28022026,64
13,DHARAVI,01022026,28022026,90
14,DONGRI,01022026,28022026,69
15,GAMDEVI,01022026,28022026,63
16,GHATKOPAR,01022026,28022026,141
17,GOREGAON,01022026,28022026,97
18,JOGESHWARI,01022026,28022026,49
19,KALACHOWKI,01022026,28022026,43
20,KANDIVALI (WEST),01022026,28022026,208
21,KHERWADI,01022026,28022026,45
22,KURLA,01022026,28022026,44
23,D.B.MARG,01022026,28022026,139
24,LT MARG,01022026,28022026,115
25,MAHIM,01022026,28022026,60
26,MALAD,01022026,28022026,243
27,MATUNGA,01022026,28022026,22
28,MULUND (WEST),01022026,28022026,166
29,NAGPADA,01022026,28022026,63
30,NM JOSHI MARG,01022026,28022026,36
31,M R A MARG,01022026,28022026,50
32,PYDHONIE,01022026,28022026,129
33,SANTACRUZ,01022026,28022026,94
34,SEWRI,01022026,28022026,40
35,TILAK NAGAR,01022026,28022026,54
36,VIKHROLI,01022026,28022026,83
37,VILE PARLE,01022026,28022026,114
38,V.P.ROAD,01022026,28022026,118
39,WADALA,01022026,28022026,35
40,WORLI,01022026,28022026,34
41,YELLOWGATE,01022026,28022026,4
42,VAKOLA,01022026,28022026,102
43,TROMBAY,01022026,28022026,52
44,MALVANI,01022026,28022026,150
45,SAKINAKA,01022026,28022026,94
46,DAHISAR,01022026,28022026,225
47,D.N.NAGAR,01022026,28022026,99
48,R.A KIDWAI MARG,01022026,28022026,43
49,TARDEO,01022026,28022026,40
50,SAHAR,01022026,28022026,104
51,ANTOP HILL,01022026,28022026,48
52,DEONAR,01022026,28022026,77
53,JUHU,01022026,28022026,105
54,KANJUR MARG,01022026,28022026,50
55,NIRMAL NAGAR,01022026,28022026,76
56,MIDC,01022026,28022026,84
57,KASTURBA SUB PS,01022026,28022026,82
58,NEHRU NAGAR,01022026,28022026,58
59,R C F,01022026,28022026,72
60,PANT NAGAR,01022026,28022026,140
61,DINDOSHI,01022026,28022026,101
62,KHAR,01022026,28022026,132
63,CUFFE-PARADE,01022026,28022026,27
64,OSHIWARA,01022026,28022026,149
65,PARK SITE,01022026,28022026,91
66,SHIVAJI NAGAR,01022026,28022026,65
67,SIR JJ MARG,01022026,28022026,96
68,SHIVAJI PARK,01022026,28022026,57
69,MALABAR HILL,01022026,28022026,30
70,MEGHWADI,01022026,28022026,54
71,SION,01022026,28022026,31
72,KURAR,01022026,28022026,117
73,MHB COLONY,01022026,28022026,167
74,NAVGHAR,01022026,28022026,56
75,SHAHU NAGAR,01022026,28022026,47
76,VERSOVA,01022026,28022026,107
77,MARINE DRIVE,01022026,28022026,40
78,WADALA TT,01022026,28022026,57
79,BANDRA-KURLA COMPLEX,01022026,28022026,53
80,POWAI,01022026,28022026,98
81,CHARCOP,01022026,28022026,67
82,VINOBA BHAVE NAGAR,01022026,28022026,113
83,GORAI,01022026,28022026,13
84,BANGUR NAGAR,01022026,28022026,83
85,SAMTA NAGAR,01022026,28022026,109
86,Mumbai Sagri Police Station,01022026,28022026,0
87,GOVANDI POLICE STATION,01022026,28022026,78
88,MANKHURD POLICE STATION,01022026,28022026,51
89,CHUNABHATTI POLICE STATION,01022026,28022026,76
90,AMBOLI,01022026,28022026,87
91,VANRAI POLICE STATION,01022026,28022026,56
92,Mumbai Sagri-2 Police Station,01022026,28022026,0
93,CYBER POLICE STATION WEST REGION,01022026,28022026,24
94,CYBER POLICE STATION EAST REGION,01022026,28022026,21
95,CYBER POLICE STATION CENTRAL REGION,01022026,28022026,18
96,CYBER POLICE STATION NORTH REGION,01022026,28022026,24
97,CYBER POLICE STATION SOUTH REGION,01022026,28022026,8
