,Name,StartDate,EndDate,FIRs
0,AREY SUB PS,01042026,30042026,22
1,AGRIPADA,01042026,30042026,57
2,AIR PORT,01042026,30042026,22
3,ANDHERI,01042026,30042026,68
4,AZAD MAIDAN,01042026,30042026,37
5,BANDRA,01042026,30042026,158
6,BHANDUP,01042026,30042026,113
7,BHOIWADA,01042026,30042026,38
8,BORIWALI,01042026,30042026,96
9,BYCULLA,01042026,30042026,58
10,CHEMBUR,01042026,30042026,183
11,COLABA,01042026,30042026,33
12,DADAR,01042026,30042026,39
13,DHARAVI,01042026,30042026,80
14,DONGRI,01042026,30042026,67
15,GAMDEVI,01042026,30042026,93
16,GHATKOPAR,01042026,30042026,152
17,GOREGAON,01042026,30042026,82
18,JOGESHWARI,01042026,30042026,58
19,KALACHOWKI,01042026,30042026,31
20,KANDIVALI (WEST),01042026,30042026,140
21,KHERWADI,01042026,30042026,40
22,KURLA,01042026,30042026,54
23,D.B.MARG,01042026,30042026,151
24,LT MARG,01042026,30042026,215
25,MAHIM,01042026,30042026,70
26,MALAD,01042026,30042026,216
27,MATUNGA,01042026,30042026,24
28,MULUND (WEST),01042026,30042026,137
29,NAGPADA,01042026,30042026,71
30,NM JOSHI MARG,01042026,30042026,47
31,M R A MARG,01042026,30042026,45
32,PYDHONIE,01042026,30042026,120
33,SANTACRUZ,01042026,30042026,98
34,SEWRI,01042026,30042026,57
35,TILAK NAGAR,01042026,30042026,54
36,VIKHROLI,01042026,30042026,56
37,VILE PARLE,01042026,30042026,93
38,V.P.ROAD,01042026,30042026,169
39,WADALA,01042026,30042026,45
40,WORLI,01042026,30042026,45
41,YELLOWGATE,01042026,30042026,9
42,VAKOLA,01042026,30042026,116
43,TROMBAY,01042026,30042026,87
44,MALVANI,01042026,30042026,144
45,SAKINAKA,01042026,30042026,123
46,DAHISAR,01042026,30042026,120
47,D.N.NAGAR,01042026,30042026,71
48,R.A KIDWAI MARG,01042026,30042026,17
49,TARDEO,01042026,30042026,45
50,SAHAR,01042026,30042026,92
51,ANTOP HILL,01042026,30042026,61
52,DEONAR,01042026,30042026,80
53,JUHU,01042026,30042026,62
54,KANJUR MARG,01042026,30042026,32
55,NIRMAL NAGAR,01042026,30042026,87
56,MIDC,01042026,30042026,85
57,KASTURBA SUB PS,01042026,30042026,52
58,NEHRU NAGAR,01042026,30042026,69
59,R C F,01042026,30042026,45
60,PANT NAGAR,01042026,30042026,110
61,DINDOSHI,01042026,30042026,108
62,KHAR,01042026,30042026,72
63,CUFFE-PARADE,01042026,30042026,8
64,OSHIWARA,01042026,30042026,93
65,PARK SITE,01042026,30042026,110
66,SHIVAJI NAGAR,01042026,30042026,101
67,SIR JJ MARG,01042026,30042026,108
68,SHIVAJI PARK,01042026,30042026,41
69,MALABAR HILL,01042026,30042026,80
70,MEGHWADI,01042026,30042026,40
71,SION,01042026,30042026,21
72,KURAR,01042026,30042026,94
73,MHB COLONY,01042026,30042026,70
74,NAVGHAR,01042026,30042026,51
75,SHAHU NAGAR,01042026,30042026,58
76,VERSOVA,01042026,30042026,99
77,MARINE DRIVE,01042026,30042026,23
78,WADALA TT,01042026,30042026,69
79,BANDRA-KURLA COMPLEX,01042026,30042026,43
80,POWAI,01042026,30042026,127
81,CHARCOP,01042026,30042026,74
82,VINOBA BHAVE NAGAR,01042026,30042026,72
83,GORAI,01042026,30042026,29
84,BANGUR NAGAR,01042026,30042026,68
85,SAMTA NAGAR,01042026,30042026,102
86,Mumbai Sagri Police Station,01042026,30042026,0
87,GOVANDI POLICE STATION,01042026,30042026,81
88,MANKHURD POLICE STATION,01042026,30042026,61
89,CHUNABHATTI POLICE STATION,01042026,30042026,118
90,AMBOLI,01042026,30042026,76
91,VANRAI POLICE STATION,01042026,30042026,57
92,Mumbai Sagri-2 Police Station,01042026,30042026,0
93,CYBER POLICE STATION WEST REGION,01042026,30042026,22
94,CYBER POLICE STATION EAST REGION,01042026,30042026,19
95,CYBER POLICE STATION CENTRAL REGION,01042026,30042026,14
96,CYBER POLICE STATION NORTH REGION,01042026,30042026,25
97,CYBER POLICE STATION SOUTH REGION,01042026,30042026,3
