,Name,StartDate,EndDate,FIRs
0,AREY SUB PS,01012026,31012026,29
1,AGRIPADA,01012026,31012026,47
2,AIR PORT,01012026,31012026,19
3,ANDHERI,01012026,31012026,34
4,AZAD MAIDAN,01012026,31012026,23
5,BANDRA,01012026,31012026,169
6,BHANDUP,01012026,31012026,58
7,BHOIWADA,01012026,31012026,31
8,BORIWALI,01012026,31012026,73
9,BYCULLA,01012026,31012026,60
10,CHEMBUR,01012026,31012026,25
11,COLABA,01012026,31012026,35
12,DADAR,01012026,31012026,50
13,DHARAVI,01012026,31012026,94
14,DONGRI,01012026,31012026,57
15,GAMDEVI,01012026,31012026,82
16,GHATKOPAR,01012026,31012026,89
17,GOREGAON,01012026,31012026,74
18,JOGESHWARI,01012026,31012026,32
19,KALACHOWKI,01012026,31012026,32
20,KANDIVALI (WEST),01012026,31012026,48
21,KHERWADI,01012026,31012026,51
22,KURLA,01012026,31012026,47
23,D.B.MARG,01012026,31012026,111
24,LT MARG,01012026,31012026,106
25,MAHIM,01012026,31012026,50
26,MALAD,01012026,31012026,118
27,MATUNGA,01012026,31012026,29
28,MULUND (WEST),01012026,31012026,50
29,NAGPADA,01012026,31012026,46
30,NM JOSHI MARG,01012026,31012026,38
31,M R A MARG,01012026,31012026,56
32,PYDHONIE,01012026,31012026,83
33,SANTACRUZ,01012026,31012026,106
34,SEWRI,01012026,31012026,51
35,TILAK NAGAR,01012026,31012026,44
36,VIKHROLI,01012026,31012026,36
37,VILE PARLE,01012026,31012026,118
38,V.P.ROAD,01012026,31012026,105
39,WADALA,01012026,31012026,25
40,WORLI,01012026,31012026,41
41,YELLOWGATE,01012026,31012026,5
42,VAKOLA,01012026,31012026,95
43,TROMBAY,01012026,31012026,34
44,MALVANI,01012026,31012026,98
45,SAKINAKA,01012026,31012026,88
46,DAHISAR,01012026,31012026,89
47,D.N.NAGAR,01012026,31012026,75
48,R.A KIDWAI MARG,01012026,31012026,30
49,TARDEO,01012026,31012026,49
50,SAHAR,01012026,31012026,71
51,ANTOP HILL,01012026,31012026,45
52,DEONAR,01012026,31012026,32
53,JUHU,01012026,31012026,122
54,KANJUR MARG,01012026,31012026,21
55,NIRMAL NAGAR,01012026,31012026,70
56,MIDC,01012026,31012026,84
57,KASTURBA SUB PS,01012026,31012026,49
58,NEHRU NAGAR,01012026,31012026,30
59,R C F,01012026,31012026,42
60,PANT NAGAR,01012026,31012026,64
61,DINDOSHI,01012026,31012026,62
62,KHAR,01012026,31012026,123
63,CUFFE-PARADE,01012026,31012026,23
64,OSHIWARA,01012026,31012026,150
65,PARK SITE,01012026,31012026,70
66,SHIVAJI NAGAR,01012026,31012026,56
67,SIR JJ MARG,01012026,31012026,48
68,SHIVAJI PARK,01012026,31012026,59
69,MALABAR HILL,01012026,31012026,58
70,MEGHWADI,01012026,31012026,28
71,SION,01012026,31012026,32
72,KURAR,01012026,31012026,97
73,MHB COLONY,01012026,31012026,42
74,NAVGHAR,01012026,31012026,35
75,SHAHU NAGAR,01012026,31012026,49
76,VERSOVA,01012026,31012026,101
77,MARINE DRIVE,01012026,31012026,26
78,WADALA TT,01012026,31012026,53
79,BANDRA-KURLA COMPLEX,01012026,31012026,46
80,POWAI,01012026,31012026,98
81,CHARCOP,01012026,31012026,35
82,VINOBA BHAVE NAGAR,01012026,31012026,67
83,GORAI,01012026,31012026,16
84,BANGUR NAGAR,01012026,31012026,56
85,SAMTA NAGAR,01012026,31012026,94
86,Mumbai Sagri Police Station,01012026,31012026,0
87,GOVANDI POLICE STATION,01012026,31012026,36
88,MANKHURD POLICE STATION,01012026,31012026,37
89,CHUNABHATTI POLICE STATION,01012026,31012026,42
90,AMBOLI,01012026,31012026,87
91,VANRAI POLICE STATION,01012026,31012026,52
92,Mumbai Sagri-2 Police Station,01012026,31012026,0
93,CYBER POLICE STATION WEST REGION,01012026,31012026,27
94,CYBER POLICE STATION EAST REGION,01012026,31012026,17
95,CYBER POLICE STATION CENTRAL REGION,01012026,31012026,11
96,CYBER POLICE STATION NORTH REGION,01012026,31012026,30
97,CYBER POLICE STATION SOUTH REGION,01012026,31012026,6
