,Name,StartDate,EndDate,FIRs
0,AREY SUB PS,01032026,31032026,22
1,AGRIPADA,01032026,31032026,43
2,AIR PORT,01032026,31032026,25
3,ANDHERI,01032026,31032026,146
4,AZAD MAIDAN,01032026,31032026,24
5,BANDRA,01032026,31032026,201
6,BHANDUP,01032026,31032026,94
7,BHOIWADA,01032026,31032026,46
8,BORIWALI,01032026,31032026,131
9,BYCULLA,01032026,31032026,58
10,CHEMBUR,01032026,31032026,112
11,COLABA,01032026,31032026,36
12,DADAR,01032026,31032026,61
13,DHARAVI,01032026,31032026,100
14,DONGRI,01032026,31032026,98
15,GAMDEVI,01032026,31032026,189
16,GHATKOPAR,01032026,31032026,149
17,GOREGAON,01032026,31032026,129
18,JOGESHWARI,01032026,31032026,63
19,KALACHOWKI,01032026,31032026,47
20,KANDIVALI (WEST),01032026,31032026,130
21,KHERWADI,01032026,31032026,57
22,KURLA,01032026,31032026,58
23,D.B.MARG,01032026,31032026,281
24,LT MARG,01032026,31032026,263
25,MAHIM,01032026,31032026,80
26,MALAD,01032026,31032026,144
27,MATUNGA,01032026,31032026,24
28,MULUND (WEST),01032026,31032026,219
29,NAGPADA,01032026,31032026,57
30,NM JOSHI MARG,01032026,31032026,36
31,M R A MARG,01032026,31032026,38
32,PYDHONIE,01032026,31032026,187
33,SANTACRUZ,01032026,31032026,121
34,SEWRI,01032026,31032026,44
35,TILAK NAGAR,01032026,31032026,55
36,VIKHROLI,01032026,31032026,80
37,VILE PARLE,01032026,31032026,130
38,V.P.ROAD,01032026,31032026,217
39,WADALA,01032026,31032026,25
40,WORLI,01032026,31032026,47
41,YELLOWGATE,01032026,31032026,9
42,VAKOLA,01032026,31032026,119
43,TROMBAY,01032026,31032026,51
44,MALVANI,01032026,31032026,208
45,SAKINAKA,01032026,31032026,109
46,DAHISAR,01032026,31032026,156
47,D.N.NAGAR,01032026,31032026,78
48,R.A KIDWAI MARG,01032026,31032026,42
49,TARDEO,01032026,31032026,43
50,SAHAR,01032026,31032026,96
51,ANTOP HILL,01032026,31032026,84
52,DEONAR,01032026,31032026,109
53,JUHU,01032026,31032026,129
54,KANJUR MARG,01032026,31032026,44
55,NIRMAL NAGAR,01032026,31032026,95
56,MIDC,01032026,31032026,139
57,KASTURBA SUB PS,01032026,31032026,51
58,NEHRU NAGAR,01032026,31032026,88
59,R C F,01032026,31032026,70
60,PANT NAGAR,01032026,31032026,95
61,DINDOSHI,01032026,31032026,87
62,KHAR,01032026,31032026,110
63,CUFFE-PARADE,01032026,31032026,19
64,OSHIWARA,01032026,31032026,178
65,PARK SITE,01032026,31032026,147
66,SHIVAJI NAGAR,01032026,31032026,94
67,SIR JJ MARG,01032026,31032026,85
68,SHIVAJI PARK,01032026,31032026,58
69,MALABAR HILL,01032026,31032026,81
70,MEGHWADI,01032026,31032026,69
71,SION,01032026,31032026,25
72,KURAR,01032026,31032026,105
73,MHB COLONY,01032026,31032026,81
74,NAVGHAR,01032026,31032026,67
75,SHAHU NAGAR,01032026,31032026,30
76,VERSOVA,01032026,31032026,114
77,MARINE DRIVE,01032026,31032026,26
78,WADALA TT,01032026,31032026,61
79,BANDRA-KURLA COMPLEX,01032026,31032026,58
80,POWAI,01032026,31032026,123
81,CHARCOP,01032026,31032026,151
82,VINOBA BHAVE NAGAR,01032026,31032026,78
83,GORAI,01032026,31032026,19
84,BANGUR NAGAR,01032026,31032026,94
85,SAMTA NAGAR,01032026,31032026,104
86,Mumbai Sagri Police Station,01032026,31032026,0
87,GOVANDI POLICE STATION,01032026,31032026,56
88,MANKHURD POLICE STATION,01032026,31032026,59
89,CHUNABHATTI POLICE STATION,01032026,31032026,115
90,AMBOLI,01032026,31032026,84
91,VANRAI POLICE STATION,01032026,31032026,77
92,Mumbai Sagri-2 Police Station,01032026,31032026,0
93,CYBER POLICE STATION WEST REGION,01032026,31032026,28
94,CYBER POLICE STATION EAST REGION,01032026,31032026,16
95,CYBER POLICE STATION CENTRAL REGION,01032026,31032026,14
96,CYBER POLICE STATION NORTH REGION,01032026,31032026,29
97,CYBER POLICE STATION SOUTH REGION,01032026,31032026,6
