,Name,StartDate,EndDate,FIRs
0,AREY SUB PS,01092025,30092025,14
1,AGRIPADA,01092025,30092025,66
2,AIR PORT,01092025,30092025,12
3,ANDHERI,01092025,30092025,40
4,AZAD MAIDAN,01092025,30092025,22
5,BANDRA,01092025,30092025,138
6,BHANDUP,01092025,30092025,83
7,BHOIWADA,01092025,30092025,51
8,BORIWALI,01092025,30092025,82
9,BYCULLA,01092025,30092025,72
10,CHEMBUR,01092025,30092025,76
11,COLABA,01092025,30092025,15
12,DADAR,01092025,30092025,115
13,DHARAVI,01092025,30092025,117
14,DONGRI,01092025,30092025,55
15,GAMDEVI,01092025,30092025,71
16,GHATKOPAR,01092025,30092025,134
17,GOREGAON,01092025,30092025,57
18,JOGESHWARI,01092025,30092025,47
19,KALACHOWKI,01092025,30092025,80
20,KANDIVALI (WEST),01092025,30092025,56
21,KHERWADI,01092025,30092025,32
22,KURLA,01092025,30092025,87
23,D.B.MARG,01092025,30092025,171
24,LT MARG,01092025,30092025,108
25,MAHIM,01092025,30092025,88
26,MALAD,01092025,30092025,94
27,MATUNGA,01092025,30092025,53
28,MULUND (WEST),01092025,30092025,129
29,NAGPADA,01092025,30092025,58
30,NM JOSHI MARG,01092025,30092025,34
31,M R A MARG,01092025,30092025,37
32,PYDHONIE,01092025,30092025,198
33,SANTACRUZ,01092025,30092025,95
34,SEWRI,01092025,30092025,36
35,TILAK NAGAR,01092025,30092025,30
36,VIKHROLI,01092025,30092025,48
37,VILE PARLE,01092025,30092025,70
38,V.P.ROAD,01092025,30092025,171
39,WADALA,01092025,30092025,24
40,WORLI,01092025,30092025,58
41,YELLOWGATE,01092025,30092025,8
42,VAKOLA,01092025,30092025,79
43,TROMBAY,01092025,30092025,25
44,MALVANI,01092025,30092025,92
45,SAKINAKA,01092025,30092025,75
46,DAHISAR,01092025,30092025,143
47,D.N.NAGAR,01092025,30092025,57
48,R.A KIDWAI MARG,01092025,30092025,44
49,TARDEO,01092025,30092025,89
50,SAHAR,01092025,30092025,70
51,ANTOP HILL,01092025,30092025,62
52,DEONAR,01092025,30092025,59
53,JUHU,01092025,30092025,88
54,KANJUR MARG,01092025,30092025,43
55,NIRMAL NAGAR,01092025,30092025,64
56,MIDC,01092025,30092025,68
57,KASTURBA SUB PS,01092025,30092025,46
58,NEHRU NAGAR,01092025,30092025,46
59,R C F,01092025,30092025,45
60,PANT NAGAR,01092025,30092025,91
61,DINDOSHI,01092025,30092025,43
62,KHAR,01092025,30092025,78
63,CUFFE-PARADE,01092025,30092025,19
64,OSHIWARA,01092025,30092025,139
65,PARK SITE,01092025,30092025,100
66,SHIVAJI NAGAR,01092025,30092025,66
67,SIR JJ MARG,01092025,30092025,101
68,SHIVAJI PARK,01092025,30092025,69
69,MALABAR HILL,01092025,30092025,47
70,MEGHWADI,01092025,30092025,29
71,SION,01092025,30092025,25
72,KURAR,01092025,30092025,66
73,MHB COLONY,01092025,30092025,72
74,NAVGHAR,01092025,30092025,27
75,SHAHU NAGAR,01092025,30092025,112
76,VERSOVA,01092025,30092025,71
77,MARINE DRIVE,01092025,30092025,27
78,WADALA TT,01092025,30092025,86
79,BANDRA-KURLA COMPLEX,01092025,30092025,42
80,POWAI,01092025,30092025,92
81,CHARCOP,01092025,30092025,37
82,VINOBA BHAVE NAGAR,01092025,30092025,73
83,GORAI,01092025,30092025,14
84,BANGUR NAGAR,01092025,30092025,58
85,SAMTA NAGAR,01092025,30092025,79
86,Mumbai Sagri Police Station,01092025,30092025,0
87,GOVANDI POLICE STATION,01092025,30092025,42
88,MANKHURD POLICE STATION,01092025,30092025,39
89,CHUNABHATTI POLICE STATION,01092025,30092025,34
90,AMBOLI,01092025,30092025,61
91,VANRAI POLICE STATION,01092025,30092025,41
92,Mumbai Sagri-2 Police Station,01092025,30092025,0
93,CYBER POLICE STATION WEST REGION,01092025,30092025,33
94,CYBER POLICE STATION EAST REGION,01092025,30092025,33
95,CYBER POLICE STATION CENTRAL REGION,01092025,30092025,18
96,CYBER POLICE STATION NORTH REGION,01092025,30092025,0
97,CYBER POLICE STATION SOUTH REGION,01092025,30092025,6
