,Name,StartDate,EndDate,FIRs
0,AREY SUB PS,01062026,30062026,34
1,AGRIPADA,01062026,30062026,56
2,AIR PORT,01062026,30062026,13
3,ANDHERI,01062026,30062026,105
4,AZAD MAIDAN,01062026,30062026,18
5,BANDRA,01062026,30062026,259
6,BHANDUP,01062026,30062026,79
7,BHOIWADA,01062026,30062026,48
8,BORIWALI,01062026,30062026,169
9,BYCULLA,01062026,30062026,76
10,CHEMBUR,01062026,30062026,125
11,COLABA,01062026,30062026,73
12,DADAR,01062026,30062026,90
13,DHARAVI,01062026,30062026,106
14,DONGRI,01062026,30062026,54
15,GAMDEVI,01062026,30062026,38
16,GHATKOPAR,01062026,30062026,117
17,GOREGAON,01062026,30062026,154
18,JOGESHWARI,01062026,30062026,90
19,KALACHOWKI,01062026,30062026,43
20,KANDIVALI (WEST),01062026,30062026,142
21,KHERWADI,01062026,30062026,69
22,KURLA,01062026,30062026,77
23,D.B.MARG,01062026,30062026,147
24,LT MARG,01062026,30062026,95
25,MAHIM,01062026,30062026,62
26,MALAD,01062026,30062026,195
27,MATUNGA,01062026,30062026,27
28,MULUND (WEST),01062026,30062026,119
29,NAGPADA,01062026,30062026,49
30,NM JOSHI MARG,01062026,30062026,56
31,M R A MARG,01062026,30062026,55
32,PYDHONIE,01062026,30062026,115
33,SANTACRUZ,01062026,30062026,264
34,SEWRI,01062026,30062026,54
35,TILAK NAGAR,01062026,30062026,62
36,VIKHROLI,01062026,30062026,81
37,VILE PARLE,01062026,30062026,90
38,V.P.ROAD,01062026,30062026,128
39,WADALA,01062026,30062026,40
40,WORLI,01062026,30062026,51
41,YELLOWGATE,01062026,30062026,3
42,VAKOLA,01062026,30062026,136
43,TROMBAY,01062026,30062026,77
44,MALVANI,01062026,30062026,157
45,SAKINAKA,01062026,30062026,130
46,DAHISAR,01062026,30062026,160
47,D.N.NAGAR,01062026,30062026,210
48,R.A KIDWAI MARG,01062026,30062026,48
49,TARDEO,01062026,30062026,42
50,SAHAR,01062026,30062026,78
51,ANTOP HILL,01062026,30062026,39
52,DEONAR,01062026,30062026,118
53,JUHU,01062026,30062026,265
54,KANJUR MARG,01062026,30062026,51
55,NIRMAL NAGAR,01062026,30062026,80
56,MIDC,01062026,30062026,161
57,KASTURBA SUB PS,01062026,30062026,87
58,NEHRU NAGAR,01062026,30062026,102
59,R C F,01062026,30062026,58
60,PANT NAGAR,01062026,30062026,102
61,DINDOSHI,01062026,30062026,220
62,KHAR,01062026,30062026,254
63,CUFFE-PARADE,01062026,30062026,21
64,OSHIWARA,01062026,30062026,133
65,PARK SITE,01062026,30062026,70
66,SHIVAJI NAGAR,01062026,30062026,74
67,SIR JJ MARG,01062026,30062026,58
68,SHIVAJI PARK,01062026,30062026,52
69,MALABAR HILL,01062026,30062026,36
70,MEGHWADI,01062026,30062026,53
71,SION,01062026,30062026,46
72,KURAR,01062026,30062026,118
73,MHB COLONY,01062026,30062026,105
74,NAVGHAR,01062026,30062026,45
75,SHAHU NAGAR,01062026,30062026,54
76,VERSOVA,01062026,30062026,146
77,MARINE DRIVE,01062026,30062026,39
78,WADALA TT,01062026,30062026,47
79,BANDRA-KURLA COMPLEX,01062026,30062026,33
80,POWAI,01062026,30062026,91
81,CHARCOP,01062026,30062026,108
82,VINOBA BHAVE NAGAR,01062026,30062026,66
83,GORAI,01062026,30062026,28
84,BANGUR NAGAR,01062026,30062026,123
85,SAMTA NAGAR,01062026,30062026,192
86,Mumbai Sagri Police Station,01062026,30062026,0
87,GOVANDI POLICE STATION,01062026,30062026,103
88,MANKHURD POLICE STATION,01062026,30062026,91
89,CHUNABHATTI POLICE STATION,01062026,30062026,115
90,AMBOLI,01062026,30062026,111
91,VANRAI POLICE STATION,01062026,30062026,127
92,Mumbai Sagri-2 Police Station,01062026,30062026,0
93,CYBER POLICE STATION WEST REGION,01062026,30062026,15
94,CYBER POLICE STATION EAST REGION,01062026,30062026,7
95,CYBER POLICE STATION CENTRAL REGION,01062026,30062026,10
96,CYBER POLICE STATION NORTH REGION,01062026,30062026,15
97,CYBER POLICE STATION SOUTH REGION,01062026,30062026,6
