,Name,StartDate,EndDate,FIRs
0,AREY SUB PS,01052026,31052026,21
1,AGRIPADA,01052026,31052026,52
2,AIR PORT,01052026,31052026,11
3,ANDHERI,01052026,31052026,120
4,AZAD MAIDAN,01052026,31052026,43
5,BANDRA,01052026,31052026,273
6,BHANDUP,01052026,31052026,79
7,BHOIWADA,01052026,31052026,32
8,BORIWALI,01052026,31052026,119
9,BYCULLA,01052026,31052026,68
10,CHEMBUR,01052026,31052026,237
11,COLABA,01052026,31052026,43
12,DADAR,01052026,31052026,70
13,DHARAVI,01052026,31052026,124
14,DONGRI,01052026,31052026,57
15,GAMDEVI,01052026,31052026,79
16,GHATKOPAR,01052026,31052026,134
17,GOREGAON,01052026,31052026,111
18,JOGESHWARI,01052026,31052026,75
19,KALACHOWKI,01052026,31052026,40
20,KANDIVALI (WEST),01052026,31052026,150
21,KHERWADI,01052026,31052026,78
22,KURLA,01052026,31052026,69
23,D.B.MARG,01052026,31052026,157
24,LT MARG,01052026,31052026,159
25,MAHIM,01052026,31052026,61
26,MALAD,01052026,31052026,190
27,MATUNGA,01052026,31052026,30
28,MULUND (WEST),01052026,31052026,132
29,NAGPADA,01052026,31052026,58
30,NM JOSHI MARG,01052026,31052026,47
31,M R A MARG,01052026,31052026,58
32,PYDHONIE,01052026,31052026,110
33,SANTACRUZ,01052026,31052026,234
34,SEWRI,01052026,31052026,46
35,TILAK NAGAR,01052026,31052026,86
36,VIKHROLI,01052026,31052026,62
37,VILE PARLE,01052026,31052026,135
38,V.P.ROAD,01052026,31052026,145
39,WADALA,01052026,31052026,88
40,WORLI,01052026,31052026,61
41,YELLOWGATE,01052026,31052026,0
42,VAKOLA,01052026,31052026,146
43,TROMBAY,01052026,31052026,96
44,MALVANI,01052026,31052026,179
45,SAKINAKA,01052026,31052026,117
46,DAHISAR,01052026,31052026,167
47,D.N.NAGAR,01052026,31052026,175
48,R.A KIDWAI MARG,01052026,31052026,41
49,TARDEO,01052026,31052026,51
50,SAHAR,01052026,31052026,115
51,ANTOP HILL,01052026,31052026,69
52,DEONAR,01052026,31052026,170
53,JUHU,01052026,31052026,242
54,KANJUR MARG,01052026,31052026,56
55,NIRMAL NAGAR,01052026,31052026,105
56,MIDC,01052026,31052026,162
57,KASTURBA SUB PS,01052026,31052026,121
58,NEHRU NAGAR,01052026,31052026,105
59,R C F,01052026,31052026,104
60,PANT NAGAR,01052026,31052026,140
61,DINDOSHI,01052026,31052026,160
62,KHAR,01052026,31052026,257
63,CUFFE-PARADE,01052026,31052026,22
64,OSHIWARA,01052026,31052026,192
65,PARK SITE,01052026,31052026,98
66,SHIVAJI NAGAR,01052026,31052026,121
67,SIR JJ MARG,01052026,31052026,88
68,SHIVAJI PARK,01052026,31052026,46
69,MALABAR HILL,01052026,31052026,46
70,MEGHWADI,01052026,31052026,65
71,SION,01052026,31052026,37
72,KURAR,01052026,31052026,101
73,MHB COLONY,01052026,31052026,99
74,NAVGHAR,01052026,31052026,47
75,SHAHU NAGAR,01052026,31052026,56
76,VERSOVA,01052026,31052026,193
77,MARINE DRIVE,01052026,31052026,32
78,WADALA TT,01052026,31052026,98
79,BANDRA-KURLA COMPLEX,01052026,31052026,84
80,POWAI,01052026,31052026,124
81,CHARCOP,01052026,31052026,61
82,VINOBA BHAVE NAGAR,01052026,31052026,75
83,GORAI,01052026,31052026,26
84,BANGUR NAGAR,01052026,31052026,103
85,SAMTA NAGAR,01052026,31052026,132
86,Mumbai Sagri Police Station,01052026,31052026,0
87,GOVANDI POLICE STATION,01052026,31052026,117
88,MANKHURD POLICE STATION,01052026,31052026,80
89,CHUNABHATTI POLICE STATION,01052026,31052026,157
90,AMBOLI,01052026,31052026,161
91,VANRAI POLICE STATION,01052026,31052026,92
92,Mumbai Sagri-2 Police Station,01052026,31052026,0
93,CYBER POLICE STATION WEST REGION,01052026,31052026,14
94,CYBER POLICE STATION EAST REGION,01052026,31052026,20
95,CYBER POLICE STATION CENTRAL REGION,01052026,31052026,15
96,CYBER POLICE STATION NORTH REGION,01052026,31052026,27
97,CYBER POLICE STATION SOUTH REGION,01052026,31052026,13
