,Name,StartDate,EndDate,FIRs
0,AREY SUB PS,01112025,30112025,16
1,AGRIPADA,01112025,30112025,52
2,AIR PORT,01112025,30112025,7
3,ANDHERI,01112025,30112025,65
4,AZAD MAIDAN,01112025,30112025,16
5,BANDRA,01112025,30112025,172
6,BHANDUP,01112025,30112025,78
7,BHOIWADA,01112025,30112025,39
8,BORIWALI,01112025,30112025,119
9,BYCULLA,01112025,30112025,71
10,CHEMBUR,01112025,30112025,95
11,COLABA,01112025,30112025,47
12,DADAR,01112025,30112025,57
13,DHARAVI,01112025,30112025,118
14,DONGRI,01112025,30112025,64
15,GAMDEVI,01112025,30112025,151
16,GHATKOPAR,01112025,30112025,124
17,GOREGAON,01112025,30112025,40
18,JOGESHWARI,01112025,30112025,49
19,KALACHOWKI,01112025,30112025,39
20,KANDIVALI (WEST),01112025,30112025,84
21,KHERWADI,01112025,30112025,57
22,KURLA,01112025,30112025,56
23,D.B.MARG,01112025,30112025,162
24,LT MARG,01112025,30112025,307
25,MAHIM,01112025,30112025,48
26,MALAD,01112025,30112025,103
27,MATUNGA,01112025,30112025,23
28,MULUND (WEST),01112025,30112025,80
29,NAGPADA,01112025,30112025,73
30,NM JOSHI MARG,01112025,30112025,33
31,M R A MARG,01112025,30112025,24
32,PYDHONIE,01112025,30112025,361
33,SANTACRUZ,01112025,30112025,140
34,SEWRI,01112025,30112025,43
35,TILAK NAGAR,01112025,30112025,47
36,VIKHROLI,01112025,30112025,52
37,VILE PARLE,01112025,30112025,74
38,V.P.ROAD,01112025,30112025,130
39,WADALA,01112025,30112025,26
40,WORLI,01112025,30112025,38
41,YELLOWGATE,01112025,30112025,8
42,VAKOLA,01112025,30112025,100
43,TROMBAY,01112025,30112025,62
44,MALVANI,01112025,30112025,106
45,SAKINAKA,01112025,30112025,93
46,DAHISAR,01112025,30112025,125
47,D.N.NAGAR,01112025,30112025,84
48,R.A KIDWAI MARG,01112025,30112025,44
49,TARDEO,01112025,30112025,62
50,SAHAR,01112025,30112025,53
51,ANTOP HILL,01112025,30112025,67
52,DEONAR,01112025,30112025,63
53,JUHU,01112025,30112025,117
54,KANJUR MARG,01112025,30112025,35
55,NIRMAL NAGAR,01112025,30112025,64
56,MIDC,01112025,30112025,86
57,KASTURBA SUB PS,01112025,30112025,73
58,NEHRU NAGAR,01112025,30112025,43
59,R C F,01112025,30112025,34
60,PANT NAGAR,01112025,30112025,111
61,DINDOSHI,01112025,30112025,92
62,KHAR,01112025,30112025,133
63,CUFFE-PARADE,01112025,30112025,16
64,OSHIWARA,01112025,30112025,173
65,PARK SITE,01112025,30112025,78
66,SHIVAJI NAGAR,01112025,30112025,79
67,SIR JJ MARG,01112025,30112025,78
68,SHIVAJI PARK,01112025,30112025,50
69,MALABAR HILL,01112025,30112025,67
70,MEGHWADI,01112025,30112025,51
71,SION,01112025,30112025,28
72,KURAR,01112025,30112025,74
73,MHB COLONY,01112025,30112025,74
74,NAVGHAR,01112025,30112025,39
75,SHAHU NAGAR,01112025,30112025,53
76,VERSOVA,01112025,30112025,114
77,MARINE DRIVE,01112025,30112025,26
78,WADALA TT,01112025,30112025,72
79,BANDRA-KURLA COMPLEX,01112025,30112025,40
80,POWAI,01112025,30112025,108
81,CHARCOP,01112025,30112025,41
82,VINOBA BHAVE NAGAR,01112025,30112025,89
83,GORAI,01112025,30112025,14
84,BANGUR NAGAR,01112025,30112025,69
85,SAMTA NAGAR,01112025,30112025,123
86,Mumbai Sagri Police Station,01112025,30112025,0
87,GOVANDI POLICE STATION,01112025,30112025,69
88,MANKHURD POLICE STATION,01112025,30112025,53
89,CHUNABHATTI POLICE STATION,01112025,30112025,54
90,AMBOLI,01112025,30112025,111
91,VANRAI POLICE STATION,01112025,30112025,70
92,Mumbai Sagri-2 Police Station,01112025,30112025,0
93,CYBER POLICE STATION WEST REGION,01112025,30112025,36
94,CYBER POLICE STATION EAST REGION,01112025,30112025,18
95,CYBER POLICE STATION CENTRAL REGION,01112025,30112025,22
96,CYBER POLICE STATION NORTH REGION,01112025,30112025,29
97,CYBER POLICE STATION SOUTH REGION,01112025,30112025,0
